Метод,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Логистическая регрессия,0.8053571428571429,0.4233128834355828,0.8214285714285714,0.5587044534412956,0.8929946978791516
Random Forest,0.8928571428571429,0.8529411764705882,0.34523809523809523,0.4915254237288136,0.8894182673069226
Gradient Boosting,0.8857142857142857,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.8877926170468187
